Rank;Log10(Rank);Log10(Freq-OS);Log10(Freq-IS)
226;2.354108439;-2.366734168;-2.254668899
227;2.356025857;-2.144885418;-2.254668899
228;2.357934847;-2.241795431;-2.254668899
229;2.359835482;-2.366734168;-2.254668899
230;2.361727836;-2.144885418;-2.254668899
231;2.36361198;-2.366734168;-2.254668899
232;2.365487985;-2.241795431;-2.254668899
233;2.367355921;-2.241795431;-2.254668899
234;2.369215857;-0.980532563;-2.254668899
235;2.371067862;-2.366734168;-2.254668899
236;2.372912003;-2.241795431;-2.254668899
237;2.374748346;-2.241795431;-2.254668899
238;2.376576957;-2.366734168;-2.254668899
239;2.378397901;-2.366734168;-2.254668899
240;2.380211242;-2.542825427;-2.254668899
241;2.382017043;-2.241795431;-2.254668899
242;2.383815366;-2.241795431;-2.254668899
243;2.385606274;-2.366734168;-2.254668899
244;2.387389826;-2.241795431;-2.254668899
245;2.389166084;-2.144885418;-2.254668899
246;2.390935107;-2.241795431;-2.254668899
247;2.392696953;-2.241795431;-2.254668899
248;2.394451681;-2.366734168;-2.254668899
249;2.396199347;-2.241795431;-2.254668899
250;2.397940009;-2.366734168;-2.254668899
251;2.399673721;-2.241795431;-2.254668899
252;2.401400541;-2.366734168;-2.254668899
253;2.403120521;-2.366734168;-2.254668899
254;2.404833717;-2.366734168;-2.254668899
255;2.40654018;-2.241795431;-2.254668899
256;2.408239965;-2.366734168;-2.254668899
257;2.409933123;-2.366734168;-2.254668899
258;2.411619706;-2.065704172;-2.254668899
259;2.413299764;#N/A;-2.254668899
260;2.414973348;-2.366734168;-2.254668899
261;2.416640507;-2.843855423;-2.254668899
262;2.418301291;-2.366734168;-2.254668899
263;2.419955748;-2.241795431;-2.254668899
264;2.421603927;-2.241795431;-2.254668899
265;2.423245874;-2.366734168;-2.254668899
266;2.424881637;-2.241795431;-2.254668899
267;2.426511261;-2.366734168;-2.254668899
268;2.428134794;-2.366734168;-2.254668899
269;2.42975228;-2.843855423;-2.254668899
270;2.431363764;-2.366734168;-2.254668899
271;2.432969291;-2.366734168;-2.254668899
272;2.434568904;-2.241795431;-2.254668899
273;2.436162647;-2.241795431;-2.254668899
274;2.437750563;-2.144885418;-2.254668899
275;2.439332694;-2.366734168;-2.254668899
276;2.440909082;-2.366734168;-2.254668899
277;2.442479769;-2.366734168;-2.379607636
278;2.444044796;-2.366734168;-2.379607636
279;2.445604203;-2.241795431;-2.379607636
280;2.447158031;-2.366734168;-2.379607636
281;2.44870632;-2.144885418;-2.379607636
282;2.450249108;-2.366734168;-2.379607636
283;2.451786436;-2.241795431;-2.379607636
284;2.45331834;-1.940765436;-2.379607636
285;2.45484486;-2.542825427;-2.379607636
286;2.456366033;-2.241795431;-2.379607636
287;2.457881897;-2.366734168;-2.379607636
288;2.459392488;-2.241795431;-2.379607636
289;2.460897843;-2.366734168;-2.379607636
290;2.462397998;-2.065704172;-2.379607636
291;2.463892989;-2.843855423;-2.379607636
292;2.465382851;-2.065704172;-2.379607636
293;2.46686762;-2.366734168;-2.379607636
294;2.46834733;-2.144885418;-2.379607636
295;2.469822016;-2.144885418;-2.379607636
296;2.471291711;-2.241795431;-2.379607636
297;2.472756449;-2.144885418;-2.379607636
298;2.474216264;-2.241795431;-2.379607636
299;2.475671188;-2.843855423;-2.379607636
300;2.477121255;#N/A;-2.379607636
301;2.478566496;-2.241795431;-2.379607636
302;2.480006943;-2.366734168;-2.379607636
303;2.481442629;-2.366734168;-2.379607636
304;2.482873584;-2.366734168;-2.379607636
305;2.484299839;-2.366734168;-2.379607636
306;2.485721426;-2.366734168;-2.379607636
307;2.487138375;-2.366734168;-2.379607636
308;2.488550717;-2.144885418;-2.379607636
309;2.489958479;-2.366734168;-2.379607636
310;2.491361694;-2.542825427;-2.379607636
311;2.492760389;-2.241795431;-2.379607636
312;2.494154594;-2.843855423;-2.379607636
313;2.495544338;-2.144885418;-2.379607636
314;2.496929648;-2.241795431;-2.379607636
315;2.498310554;-2.366734168;-2.379607636
316;2.499687083;-2.241795431;-2.379607636
317;2.501059262;-2.542825427;-2.379607636
318;2.50242712;-2.542825427;-2.379607636
319;2.503790683;-2.542825427;-2.379607636
320;2.505149978;-2.241795431;-2.379607636
321;2.506505032;-2.366734168;-2.379607636
322;2.507855872;-2.366734168;-2.379607636
323;2.509202522;-2.366734168;-2.379607636
324;2.51054501;-2.542825427;-2.379607636
325;2.511883361;-2.366734168;-2.379607636
326;2.5132176;-2.542825427;-2.379607636
327;2.514547753;-2.241795431;-2.379607636
328;2.515873844;-2.366734168;-2.379607636
329;2.517195898;-2.843855423;-2.379607636
330;2.51851394;-2.542825427;-2.379607636
331;2.519827994;-2.241795431;-2.379607636
332;2.521138084;-2.542825427;-2.379607636
333;2.522444234;-2.542825427;-2.379607636
334;2.523746467;-2.366734168;-2.379607636
335;2.525044807;-2.241795431;-2.379607636
336;2.526339277;-2.366734168;-2.379607636
337;2.527629901;-2.542825427;-2.379607636
338;2.5289167;-2.241795431;-2.379607636
339;2.530199698;-2.366734168;-2.379607636
340;2.531478917;-2.366734168;-2.379607636
341;2.532754379;-2.542825427;-2.379607636
342;2.534026106;-2.366734168;-2.379607636
343;2.53529412;-2.366734168;-2.379607636
344;2.536558443;-2.366734168;-2.379607636
345;2.537819095;-2.241795431;-2.379607636
346;2.539076099;-2.366734168;-2.379607636
347;2.540329475;-2.542825427;-2.379607636
348;2.541579244;-2.366734168;-2.379607636
349;2.542825427;-2.366734168;-2.379607636
350;2.544068044;-2.366734168;-2.379607636
351;2.545307116;-2.542825427;-2.379607636
352;2.546542663;-2.542825427;-2.379607636
353;2.547774705;-2.366734168;-2.379607636
354;2.549003262;-2.366734168;-2.379607636
355;2.550228353;-2.542825427;-2.379607636
356;2.551449998;-2.366734168;-2.379607636
357;2.552668216;-2.542825427;-2.379607636
358;2.553883027;-2.144885418;-2.379607636
359;2.555094449;-2.843855423;-2.379607636
360;2.556302501;-2.241795431;-2.379607636
361;2.557507202;-2.366734168;-2.379607636
362;2.558708571;-2.366734168;-2.379607636
363;2.559906625;-2.542825427;-2.379607636
364;2.561101384;-2.366734168;-2.379607636
365;2.562292864;-2.366734168;-2.379607636
366;2.563481085;-2.241795431;-2.379607636
367;2.564666064;-2.542825427;-2.379607636
368;2.565847819;-2.542825427;-2.379607636
369;2.567026366;-2.542825427;-2.379607636
370;2.568201724;-2.366734168;-2.379607636
371;2.56937391;-2.366734168;-2.379607636
372;2.57054294;-2.542825427;-2.379607636
373;2.571708832;-2.843855423;-2.379607636
374;2.572871602;-2.542825427;-2.379607636
375;2.574031268;-2.843855423;-2.379607636
376;2.575187845;-2.542825427;-2.379607636
377;2.57634135;-2.843855423;-2.379607636
378;2.5774918;-2.542825427;-2.379607636
379;2.57863921;-2.366734168;-2.379607636
380;2.579783597;-2.542825427;-2.379607636
381;2.580924976;-2.366734168;-2.379607636
382;2.582063363;-2.366734168;-2.379607636
383;2.583198774;-2.542825427;-2.379607636
384;2.584331224;-2.542825427;-2.379607636
385;2.58546073;-2.542825427;-2.379607636
386;2.586587305;-2.366734168;-2.379607636
387;2.587710965;-2.542825427;-2.379607636
388;2.588831726;-2.542825427;-2.379607636
389;2.589949601;-2.542825427;-2.379607636
390;2.591064607;-2.542825427;-2.379607636
391;2.592176757;-2.366734168;-2.379607636
392;2.593286067;-2.843855423;-2.379607636
393;2.59439255;-2.366734168;-2.379607636
394;2.595496222;-2.542825427;-2.379607636
395;2.596597096;-2.366734168;-2.379607636
396;2.597695186;-2.241795431;-2.379607636
397;2.598790507;-2.542825427;-2.379607636
398;2.599883072;-2.366734168;-2.379607636
399;2.600972896;-2.366734168;-2.379607636
400;2.602059991;-2.366734168;-2.379607636
401;2.603144373;-2.843855423;-2.379607636
402;2.604226053;-2.542825427;-2.379607636
403;2.605305046;-2.843855423;-2.379607636
404;2.606381365;-2.542825427;-2.379607636
405;2.607455023;-2.542825427;-2.379607636
406;2.608526034;-2.542825427;-2.379607636
407;2.609594409;-2.843855423;-2.379607636
408;2.610660163;-2.241795431;-2.379607636
409;2.611723308;-2.843855423;-2.379607636
410;2.612783857;-2.366734168;-2.379607636
411;2.613841822;-1.998757383;-2.379607636
412;2.614897216;-2.366734168;-2.379607636
413;2.615950052;-2.366734168;-2.379607636
414;2.617000341;-2.542825427;-2.379607636
415;2.618048097;-2.542825427;-2.379607636
416;2.619093331;-2.542825427;-2.379607636
417;2.620136055;-2.542825427;-2.379607636
418;2.621176282;-2.843855423;-2.379607636
419;2.622214023;-2.542825427;-2.379607636
420;2.62324929;-2.241795431;-2.379607636
421;2.624282096;-2.542825427;-2.379607636
422;2.625312451;-2.542825427;-2.379607636
423;2.626340367;-2.366734168;-2.379607636
424;2.627365857;-2.241795431;-2.379607636
425;2.62838893;-2.542825427;-2.379607636
426;2.629409599;-2.366734168;-2.379607636
427;2.630427875;-2.542825427;-2.379607636
428;2.631443769;-2.542825427;-2.379607636
429;2.632457292;-2.241795431;-2.379607636
430;2.633468456;-2.542825427;-2.379607636
431;2.63447727;-2.241795431;-2.555698895
432;2.635483747;-2.366734168;-2.555698895
433;2.636487896;-2.144885418;-2.555698895
434;2.63748973;-2.542825427;-2.555698895
435;2.638489257;-2.542825427;-2.555698895
436;2.639486489;-2.542825427;-2.555698895
437;2.640481437;-2.542825427;-2.555698895
438;2.641474111;-2.843855423;-2.555698895
439;2.64246452;-2.366734168;-2.555698895
440;2.643452676;-2.241795431;-2.555698895
441;2.644438589;-2.542825427;-2.555698895
442;2.645422269;-2.542825427;-2.555698895
443;2.646403726;-2.542825427;-2.555698895
444;2.64738297;-2.542825427;-2.555698895
445;2.648360011;-2.542825427;-2.555698895
446;2.649334859;-2.843855423;-2.555698895
447;2.650307523;-2.843855423;-2.555698895
448;2.651278014;-2.542825427;-2.555698895
449;2.652246341;-2.542825427;-2.555698895
450;2.653212514;-2.542825427;-2.555698895
451;2.654176542;-2.366734168;-2.555698895
452;2.655138435;-2.843855423;-2.555698895
453;2.656098202;-2.542825427;-2.555698895
454;2.657055853;-2.843855423;-2.555698895
455;2.658011397;-2.843855423;-2.555698895
456;2.658964843;-2.366734168;-2.555698895
457;2.6599162;-2.843855423;-2.555698895
458;2.660865478;-2.366734168;-2.555698895
459;2.661812686;-2.542825427;-2.555698895
460;2.662757832;-2.241795431;-2.555698895
461;2.663700925;#N/A;-2.555698895
462;2.664641976;-2.542825427;-2.555698895
463;2.665580991;-2.542825427;-2.555698895
464;2.666517981;-2.843855423;-2.555698895
465;2.667452953;-2.843855423;-2.555698895
466;2.668385917;-2.542825427;-2.555698895
467;2.669316881;-2.366734168;-2.555698895
468;2.670245853;-2.843855423;-2.555698895
469;2.671172843;-2.542825427;-2.555698895
470;2.672097858;-2.366734168;-2.555698895
471;2.673020907;-2.542825427;-2.555698895
472;2.673941999;-2.843855423;-2.555698895
473;2.674861141;-2.241795431;-2.555698895
474;2.675778342;-2.542825427;-2.555698895
475;2.67669361;-2.542825427;-2.555698895
476;2.677606953;-2.366734168;-2.555698895
477;2.678518379;-2.366734168;-2.555698895
478;2.679427897;-2.144885418;-2.555698895
479;2.680335513;-2.542825427;-2.555698895
480;2.681241237;-2.366734168;-2.555698895
481;2.682145076;-2.366734168;-2.555698895
482;2.683047038;-2.843855423;-2.555698895
483;2.683947131;-2.542825427;-2.555698895
484;2.684845362;#N/A;-2.555698895
485;2.685741739;-2.542825427;-2.555698895
486;2.686636269;-2.542825427;-2.555698895
487;2.687528961;-2.542825427;-2.555698895
488;2.688419822;-2.542825427;-2.555698895
489;2.689308859;-2.366734168;-2.555698895
490;2.69019608;-2.241795431;-2.555698895
491;2.691081492;-2.366734168;-2.555698895
492;2.691965103;-2.366734168;-2.555698895
493;2.692846919;-2.843855423;-2.555698895
494;2.693726949;-2.843855423;-2.555698895
495;2.694605199;-2.542825427;-2.555698895
496;2.695481676;-2.366734168;-2.555698895
497;2.696356389;-2.366734168;-2.555698895
498;2.697229343;-2.144885418;-2.555698895
499;2.698100546;-2.542825427;-2.555698895
500;2.698970004;-2.542825427;-2.555698895
501;2.699837726;-2.843855423;-2.555698895
502;2.700703717;-2.366734168;-2.555698895
503;2.701567985;-2.542825427;-2.555698895
504;2.702430536;-2.542825427;-2.555698895
505;2.703291378;-2.843855423;-2.555698895
506;2.704150517;-2.366734168;-2.555698895
507;2.705007959;-2.542825427;-2.555698895
508;2.705863712;-2.843855423;-2.555698895
509;2.706717782;-2.542825427;-2.555698895
510;2.707570176;-2.542825427;-2.555698895
511;2.7084209;-2.542825427;-2.555698895
512;2.709269961;-2.542825427;-2.555698895
513;2.710117365;-2.542825427;-2.555698895
514;2.710963119;#N/A;-2.555698895
515;2.711807229;-2.542825427;-2.555698895
516;2.712649702;-2.542825427;-2.555698895
517;2.713490543;-2.366734168;-2.555698895
518;2.71432976;-2.542825427;-2.555698895
519;2.715167358;-2.843855423;-2.555698895
520;2.716003344;#N/A;-2.555698895
521;2.716837723;-2.542825427;-2.555698895
522;2.717670503;-2.843855423;-2.555698895
523;2.718501689;-2.542825427;-2.555698895
524;2.719331287;-2.542825427;-2.555698895
525;2.720159303;-2.542825427;-2.555698895
526;2.720985744;-2.542825427;-2.555698895
527;2.721810615;#N/A;-2.555698895
528;2.722633923;-2.542825427;-2.555698895
529;2.723455672;-2.843855423;-2.555698895
530;2.72427587;-2.542825427;-2.555698895
531;2.725094521;-2.542825427;-2.555698895
532;2.725911632;-2.843855423;-2.555698895
533;2.726727209;-2.843855423;-2.555698895
534;2.727541257;-2.843855423;-2.555698895
535;2.728353782;-2.542825427;-2.555698895
536;2.72916479;-2.542825427;-2.555698895
537;2.729974286;-2.542825427;-2.555698895
538;2.730782276;#N/A;-2.555698895
539;2.731588765;-2.542825427;-2.555698895
540;2.73239376;-2.843855423;-2.555698895
541;2.733197265;-2.241795431;-2.555698895
542;2.733999287;-2.542825427;-2.555698895
543;2.73479983;-2.366734168;-2.555698895
544;2.7355989;-2.542825427;-2.555698895
545;2.736396502;-2.843855423;-2.555698895
546;2.737192643;-2.144885418;-2.555698895
547;2.737987326;-2.542825427;-2.555698895
548;2.738780558;-2.542825427;-2.555698895
549;2.739572344;-2.843855423;-2.555698895
550;2.740362689;-2.366734168;-2.555698895
551;2.741151599;-2.542825427;-2.555698895
552;2.741939078;#N/A;-2.555698895
553;2.742725131;-2.843855423;-2.555698895
554;2.743509765;-2.542825427;-2.555698895
555;2.744292983;-2.366734168;-2.555698895
556;2.745074792;#N/A;-2.555698895
557;2.745855195;-2.542825427;-2.555698895
558;2.746634199;-2.542825427;-2.555698895
559;2.747411808;-2.542825427;-2.555698895
560;2.748188027;-2.843855423;-2.555698895
561;2.748962861;-2.542825427;-2.555698895
562;2.749736316;-2.542825427;-2.555698895
563;2.750508395;#N/A;-2.555698895
564;2.751279104;-2.542825427;-2.555698895
565;2.752048448;-2.542825427;-2.555698895
566;2.752816431;-2.843855423;-2.555698895
567;2.753583059;-2.843855423;-2.555698895
568;2.754348336;-2.542825427;-2.555698895
569;2.755112266;-2.542825427;-2.555698895
570;2.755874856;-2.542825427;-2.555698895
571;2.756636108;-2.843855423;-2.555698895
572;2.757396029;-2.843855423;-2.555698895
573;2.758154622;-2.843855423;-2.555698895
574;2.758911892;-2.542825427;-2.555698895
575;2.759667845;-2.366734168;-2.555698895
576;2.760422483;-2.366734168;-2.555698895
577;2.761175813;-2.542825427;-2.555698895
578;2.761927838;-2.542825427;-2.555698895
579;2.762678564;-2.542825427;-2.555698895
580;2.763427994;-2.542825427;-2.555698895
581;2.764176132;#N/A;-2.555698895
582;2.764922985;-2.366734168;-2.555698895
583;2.765668555;-2.542825427;-2.555698895
584;2.766412847;-2.542825427;-2.555698895
585;2.767155866;-2.366734168;-2.555698895
586;2.767897616;-2.843855423;-2.555698895
587;2.768638101;-2.843855423;-2.555698895
588;2.769377326;-2.542825427;-2.555698895
589;2.770115295;-2.843855423;-2.555698895
590;2.770852012;-2.542825427;-2.555698895
591;2.771587481;-2.843855423;-2.555698895
592;2.772321707;-2.542825427;-2.555698895
593;2.773054693;-2.542825427;-2.555698895
594;2.773786445;-2.843855423;-2.555698895
595;2.774516966;-2.542825427;-2.555698895
596;2.77524626;-2.542825427;-2.555698895
597;2.775974331;-2.542825427;-2.555698895
598;2.776701184;-2.542825427;-2.555698895
599;2.777426822;-2.542825427;-2.555698895
600;2.77815125;-2.542825427;-2.555698895
601;2.778874472;-2.843855423;-2.555698895
602;2.779596491;-2.843855423;-2.555698895
603;2.780317312;-2.843855423;-2.555698895
604;2.781036939;-2.843855423;-2.555698895
605;2.781755375;-2.366734168;-2.555698895
606;2.782472624;-2.542825427;-2.555698895
607;2.783188691;-2.542825427;-2.555698895
608;2.783903579;-2.542825427;-2.555698895
609;2.784617293;-2.542825427;-2.555698895
610;2.785329835;-2.542825427;-2.555698895
611;2.78604121;-2.843855423;-2.555698895
612;2.786751422;-2.542825427;-2.555698895
613;2.787460475;-2.843855423;-2.555698895
614;2.788168371;-2.843855423;-2.555698895
615;2.788875116;-2.241795431;-2.555698895
616;2.789580712;-2.366734168;-2.555698895
617;2.790285164;-2.843855423;-2.555698895
618;2.790988475;-2.542825427;-2.555698895
619;2.791690649;-2.843855423;-2.555698895
620;2.792391689;-2.542825427;-2.555698895
621;2.7930916;-2.542825427;-2.555698895
622;2.793790385;-2.843855423;-2.555698895
623;2.794488047;-2.843855423;-2.555698895
624;2.79518459;-2.542825427;-2.555698895
625;2.795880017;-2.542825427;-2.555698895
626;2.796574333;-2.843855423;-2.555698895
627;2.797267541;-2.542825427;-2.555698895
628;2.797959644;-2.542825427;-2.555698895
629;2.798650645;-2.542825427;-2.555698895
630;2.799340549;-2.542825427;-2.555698895
631;2.800029359;-2.843855423;-2.555698895
632;2.800717078;-2.542825427;-2.555698895
633;2.80140371;-2.542825427;-2.555698895
